sym,name,rank,price_usd,price_btc,percent_change1h,percent_change1d,vol,last_up
BTC,bitcoin,1,2478.98,1.0,0.45,-9.75,1.97705E9,1497518959
ETH,ethereum,2,351.083,0.144303,-0.38,-10.12,1.88619E9,1497518964
XRP,ripple,3,0.270133,1.1103E-4,0.11,1.28,4.73245E8,1497518943
XEM,nem,4,0.191551,7.873E-5,-1.94,-14.51,1.5436E7,1497518961
ETC,ethereum-classic,5,18.2482,0.0075004,0.41,-10.77,1.64568E8,1497518976
LTC,litecoin,6,29.267,0.0120294,0.29,-6.42,2.78741E8,1497518942
IOT,iota,7,4.86E-7,2.0E-10,-2.52,-18.88,9595460.0,1497518995
DASH,dash,8,162.347,0.0667281,0.15,-10.92,5.10277E7,1497518946
BTS,bitshares,9,0.310546,1.2764E-4,-1.9,-11.48,1.68134E8,1497518953
STRAT,stratis,10,7.9802,0.00328004,-0.87,-15.69,1.2473E7,1497518976
XMR,monero,11,45.5393,0.0187177,0.52,-13.18,1.29437E7,1497518951
ZEC,zcash,12,366.741,0.150739,1.6,-11.02,7.59105E7,1497518980
WAVES,waves,13,5.16966,0.00212484,-0.24,-11.67,2200230.0,1497518972
STEEM,steem,14,2.00419,8.2376E-4,0.08,-14.86,6847180.0,1497518971
BCN,bytecoin-bcn,15,0.00237071,9.7E-7,-0.13,-20.0,2946360.0,1497518952
GNT,golem-network-tokens,16,0.495783,2.0378E-4,0.71,-12.99,9963060.0,1497518980
SC,siacoin,17,0.0138707,5.7E-6,-0.1,-11.65,1.93479E7,1497518965
XLM,stellar,18,0.0383237,1.575E-5,1.25,-8.55,1.7879E7,1497518954
DOGE,dogecoin,19,0.00304707,1.25E-6,-0.13,-7.86,1.67813E7,1497518945
BCC,bitconnect,20,49.7576,0.0204515,0.14,-6.55,1881810.0,1497518985
REP,augur,21,29.6616,0.0121915,0.67,-17.78,4783140.0,1497518966
LSK,lisk,22,2.99575,0.00123132,-3.26,-16.06,1.17899E7,1497518970
GNO,gnosis-gno,23,238.31,0.0979508,-0.51,-12.88,1640520.0,1497518991
DGB,digibyte,24,0.0291331,1.197E-5,-1.11,-20.13,2.31954E7,1497518946
ARDR,ardor,25,0.237512,9.762E-5,-2.29,3.34,1.75347E7,1497518975
FCT,factom,26,25.6482,0.010542,0.13,-17.76,1.14039E7,1497518969
GAME,gamecredits,27,3.53465,0.00145282,-0.06,-13.39,2605160.0,1497518955
MAID,maidsafecoin,28,0.461541,1.897E-4,0.07,-12.53,2244390.0,1497518950
DGD,digixdao,29,88.5285,0.0363872,-0.07,-9.24,1377790.0,1497518971
BAT,basic-attention-token,30,0.174978,7.192E-5,1.58,-8.09,3904350.0,1497518994
NXT,nxt,31,0.170501,7.008E-5,-0.55,-13.6,2.29278E7,1497518943
ICN,iconomi,32,1.89605,7.7932E-4,3.3,-6.44,1717490.0,1497518978
GBYTE,byteball,33,632.41,0.259934,-1.2,-13.5,639190.0,1497518983
DCR,decred,34,30.8102,0.0126637,-0.74,-15.81,1402060.0,1497518969
KMD,komodo,35,1.47174,6.0492E-4,1.77,-8.97,578586.0,1497518984
USDT,tether,36,1.0288,4.2286E-4,0.25,0.31,1.89225E8,1497518960
SNGLS,singulardtv,37,0.21053,8.653E-5,0.56,-10.6,680298.0,1497518979
ANT,aragon,38,3.20752,0.00131836,1.12,-17.84,1680210.0,1497518993
