sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2617.72,1.0,1.03108E9,4.3001220997E10,1.6426975E7,1.6426975E7,-0.44,4.9,6.92,1499158160,2301.88422884,9.0667710476E8,3.781299468E10
ETH,2,286.588,0.109975,7.44565E8,2.665675938E10,9.301422E7,9.301422E7,0.24,1.14,12.45,1499158151,252.010298036,6.54730999055E8,2.344054139E10
XRP,3,0.260982,1.0015E-4,6.41006E7,9.993362968E9,3.829138779E10,9.9994608423E10,-0.22,1.9,-2.61,1499158141,0.2294937388,5.63666703082E7,8.787633746E9
LTC,4,50.4794,0.0193709,8.72596E8,2.61653571E9,5.1833732E7,5.1833732E7,0.15,11.56,30.16,1499158142,44.3889089518,7.67314674812E8,2.300842827E9
ETC,5,18.4518,0.00708065,9.43403E7,1.720070393E9,9.3219653E7,9.3219653E7,-0.15,4.33,-3.64,1499158157,16.2255349746,8.29578597841E7,1.51253874E9
XEM,6,0.188806,7.245E-5,1.21233E7,1.699254E9,8.999999999E9,8.999999999E9,-0.61,17.83,21.11,1499158148,0.1660259897,1.06605874851E7,1.494233907E9
DASH,7,185.658,0.0712441,4.35627E7,1.374063455E9,7401046.0,7401046.0,-0.3,6.59,12.16,1499158168,163.257805326,3.83067295569E7,1.208278577E9
MIOTA,8,0.388138,1.4894E-4,3418390.0,1.078841325E9,2.779530283E9,2.779530283E9,-0.18,6.24,2.0,1499158166,0.3413079859,3005950.99133,9.48675883E8
BTS,9,0.259636,9.963E-5,1.4009E8,6.74160452E8,2.59656E9,2.59656E9,-2.16,23.88,6.13,1499158145,0.2283101377,1.2318772123E8,5.92820971E8
XMR,10,45.1081,0.0173097,1.4905E7,6.64385606E8,1.4728743E7,1.4728743E7,-0.77,7.25,10.63,1499158145,39.6656724107,1.3106667035E7,5.84225489E8
STRAT,11,6.20211,0.00237998,5935550.0,6.10595276E8,9.8449604E7,9.8449604E7,-1.14,9.41,1.54,1499158158,5.4538068222,5219408.08585,5.36925124E8
EOS,12,3.66696,0.00140715,3.0744E8,5.89694605E8,1.60812936E8,1.0E9,-2.75,-25.64,0.0,1499158167,3.2245302751,2.7034644168E8,5.18546182E8
ZEC,13,297.192,0.114044,2.0307E7,4.61373863E8,1552444.0,1552444.0,-0.15,4.38,-4.61,1499158160,261.334893624,1.7856899529E7,4.05707722E8
STEEM,14,1.74018,6.6777E-4,1674640.0,4.10669364E8,2.35992463E8,2.52966557E8,0.87,9.22,5.06,1499158154,1.5302220625,1472589.66008,3.61120874E8
ANS,15,8.1477,0.00312658,2.21213E7,4.07385E8,5.0E7,1.0E8,-0.74,3.44,46.66,1499158156,7.1646555519,1.94522987911E7,3.58232778E8
BCN,16,0.00218093,8.4E-7,1016920.0,3.99312174E8,1.83092613874E11,1.83092613874E11,-0.84,2.71,1.42,1499158146,0.0019177943,894225.55124,3.51133963E8
GNT,17,0.476578,1.8288E-4,5534590.0,3.97004724E8,8.33032E8,1.0E9,-0.25,5.11,1.08,1499158158,0.4190774346,4866825.11273,3.49104913E8
